#{"t_start": 1762125823.7073977, "env_id": "None"}
r,l,t
-47.552425,1000,815.627265
-55.631157,1000,815.627269
-69.999535,1000,815.627273
-64.15735,1000,815.627278
-64.15739,1000,815.627281
-42.8572,1000,815.627285
-58.729813,1000,815.627289
-69.879005,1000,815.627293
-34.482906,1000,815.627297
-66.21584,1000,815.627301
-39.394085,1000,815.627305
-40.972286,1000,815.627309
-65.83809,1000,815.627313
-54.860966,1000,815.627317
-61.661057,1000,972.774809
-64.02845,1000,972.774895
-67.16372,1000,972.774906
-55.555325,1000,972.774912
-65.516884,1000,972.774918
-29.62991,1000,972.774923
-49.275322,1000,972.774927
-70.19821,1000,972.774931
-63.636047,1000,972.774935
-70.32596,1000,972.77494
-62.49961,1000,972.774945
-36.709034,1000,972.774949
-71.962074,1000,972.774953
-41.34905,1000,972.774957
-72.307144,1000,972.774962
-8.396955,1000,972.774966
-65.90874,1000,972.774971
-54.385807,1000,972.774975
-48.412685,1000,972.774979
-35.361347,1000,972.774984
-51.612804,1000,972.774988
-58.187893,1000,972.774992
-72.50812,1000,972.774996
-56.666447,1000,972.775
-50.617188,1000,972.775004
-49.45844,1000,972.775008
-51.557,1000,972.775012
-21.641916,1000,972.775017
-48.717873,1000,972.77502
-55.17224,1000,972.775024
-59.349365,1000,972.775029
-63.575848,1000,972.775033
-42.56762,1000,972.775037
-53.667835,1000,972.775041
-54.225204,1000,972.775045
-71.78635,1000,972.77505
-42.52883,1000,972.775054
-64.62988,1000,972.775058
-38.566624,1000,972.775061
-38.356327,1000,972.775065
-21.348175,1000,1144.29564
-21.933167,1000,1144.295756
-13.533795,1000,1144.295768
12.852406,1000,1144.295774
-5.537685,1000,1144.29578
31.578722,1000,1144.295785
50.57911,1000,1144.29579
79.93127,1000,1144.295796
-34.37522,1000,1144.2958
-63.210358,1000,1144.295806
-34.255928,1000,1144.295811
-33.098816,1000,1144.295816
-26.421587,1000,1144.295821
76.667336,1000,1144.295826
-45.945415,1000,1144.295831
-6.1367664,1000,1144.295835
120.2174,1000,1144.29584
-44.615402,1000,1144.295845
-53.270794,1000,1144.295878
-66.44259,1000,1144.295883
-19.01422,1000,1144.295888
-30.921299,1000,1144.295892
56.051773,1000,1144.295897
-40.298603,1000,1144.2959
50.537785,1000,1144.295904
-63.210365,1000,1144.295908
-62.68615,1000,1144.295913
-11.864558,1000,1144.295917
2.5638022,1000,1144.295921
21.429165,1000,1144.295925
64.23476,1000,1144.295929
42.30867,1000,1144.295933
51.516003,1000,1144.295938
-24.342346,1000,1144.295942
-47.36828,1000,1144.295945
116.495575,1000,1144.295949
-29.936552,1000,1144.295953
-56.66646,1000,1144.295956
-26.640795,1000,1144.29596
-32.384617,1000,1144.295963
-99.87472,662,1262.897912
129.3918,1000,1376.045576
42.858116,1000,1376.045674
125.59033,1000,1376.045685
187.76863,1000,1376.04569
155.39595,1000,1376.045696
212.27934,1000,1376.045701
132.7282,1000,1376.045705
220.75356,1000,1376.04571
13.713045,1000,1376.045715
268.41888,1000,1376.045719
139.05759,1000,1376.045724
163.73592,1000,1376.045729
242.20363,1000,1376.045733
94.26865,1000,1376.045738
162.81935,1000,1376.045743
100.62811,1000,1376.045747
165.68236,1000,1376.045752
128.65076,1000,1376.045756
104.082344,1000,1376.045761
147.34918,1000,1376.045765
149.99976,1000,1376.045769
107.5482,1000,1376.045774
77.21565,1000,1376.045778
191.81366,1000,1376.045783
194.91402,1000,1376.045787
152.5583,1000,1376.045791
171.60397,1000,1376.045795
158.06445,1000,1376.0458
187.76706,1000,1376.045805
152.97589,1000,1376.045809
242.85545,1000,1376.045812
198.55995,1000,1376.045817
138.25525,1000,1376.045822
156.75691,1000,1376.045826
171.12651,1000,1376.04583
232.2672,1000,1376.045847
142.5244,1000,1376.045854
196.02621,1000,1376.04586
126.47168,1000,1376.045866
242.75478,1000,1499.262202
-106.15601,802,1532.942741
376.66455,1000,1567.708412
322.7921,1000,1567.708508
317.47363,1000,1567.708519
236.2807,1000,1567.708525
327.50647,1000,1567.708597
213.52943,1000,1567.708602
36.202026,1000,1567.708607
417.7282,1000,1567.708612
322.3792,1000,1567.708617
278.27533,1000,1567.708621
366.43994,1000,1567.708626
448.3837,1000,1567.70863
305.56958,1000,1567.708634
398.27893,1000,1567.70864
267.69495,1000,1567.708644
213.5295,1000,1567.708649
93.08475,1000,1567.708654
92.568825,1000,1567.708658
235.50246,1000,1567.708663
315.15985,1000,1567.708668
189.28214,1000,1567.708672
354.8459,1000,1567.708676
434.9627,1000,1567.70868
212.11765,1000,1567.708684
356.86588,1000,1567.708688
401.69147,1000,1567.708693
308.63544,1000,1567.708697
321.5656,1000,1567.708701
157.8584,1000,1567.708705
178.51138,1000,1567.708709
199.62206,1000,1567.708714
134.52475,1000,1567.708719
354.89844,1000,1567.708724
392.00928,1000,1567.708729
188.52267,1000,1567.708733
277.35605,1000,1567.708737
137.17934,1000,1567.708741
247.69063,1000,1567.708746
408.35788,1000,1732.442488
455.5515,1000,1765.977535
415.62213,1000,1775.428472
401.69125,1000,1775.42856
356.37363,1000,1775.428572
445.73843,1000,1775.428578
456.3342,1000,1775.428584
276.14426,1000,1775.42859
436.42145,1000,1775.428595
450.55954,1000,1775.4286
421.27368,1000,1775.428605
490.9051,1000,1775.42861
215.7897,1000,1775.428616
307.30096,1000,1775.42862
367.88687,1000,1775.428625
92.982735,1000,1775.42863
222.68405,1000,1775.428635
489.4713,1000,1775.428642
406.79984,1000,1775.428648
498.35712,1000,1775.428653
321.7231,1000,1775.428658
463.2152,1000,1775.428663
483.62628,1000,1775.428667
387.88672,1000,1775.428673
285.05426,1000,1775.428677
473.5274,1000,1775.428682
